type,group,category,covariance
red,fixed_acidity_ratio,low,0.0024201790169506975
red,fixed_acidity_ratio,medium,0.0003651284626001859
red,fixed_acidity_ratio,high,0.0004778252491724079
white,fixed_acidity_ratio,low,0.002227121670322638
white,fixed_acidity_ratio,medium,-4.5938882887598804e-05
white,fixed_acidity_ratio,high,0.0003424722326889812
red,free_sulfur_dioxide_ratio,low,-0.00018386063304745497
red,free_sulfur_dioxide_ratio,medium,0.002396582601328186
red,free_sulfur_dioxide_ratio,high,0.010430892895110759
white,free_sulfur_dioxide_ratio,low,0.010111324843191946
white,free_sulfur_dioxide_ratio,medium,0.0017444267021790106
white,free_sulfur_dioxide_ratio,high,0.00031592421215391676
red,alcohol_sulfur_dioxide_ratio,low,-0.002585586217766642
red,alcohol_sulfur_dioxide_ratio,medium,0.0018207181113747363
red,alcohol_sulfur_dioxide_ratio,high,0.026413072649631237
white,alcohol_sulfur_dioxide_ratio,low,0.0011996598367147206
white,alcohol_sulfur_dioxide_ratio,medium,0.0014951495423327391
white,alcohol_sulfur_dioxide_ratio,high,-0.017983522558255492
