fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,type,alcohol_density,non-free sulfur dioxide,total_acidity,acidity_ratio,alcohol_pH_ratio,alcohol_sulfur_dioxide_ratio
7.4,0.7,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4,5,red,9.37932,23.0,8.1,0.9135802469135803,2.678062678062678,0.27647058823529413
7.8,0.88,0.0,2.6,0.098,25.0,67.0,0.9968,3.2,0.68,9.8,5,red,9.768640000000001,42.0,8.68,0.8986175115207373,3.0625,0.14626865671641792
7.8,0.76,0.04,2.3,0.092,15.0,54.0,0.997,3.26,0.65,9.8,5,red,9.7706,39.0,8.56,0.911214953271028,3.006134969325154,0.1814814814814815
11.2,0.28,0.56,1.9,0.075,17.0,60.0,0.998,3.16,0.58,9.8,6,red,9.7804,43.0,11.479999999999999,0.9756097560975611,3.1012658227848102,0.16333333333333336
7.4,0.7,0.0,1.9,0.076,11.0,34.0,0.9978,3.51,0.56,9.4,5,red,9.37932,23.0,8.1,0.9135802469135803,2.678062678062678,0.27647058823529413
7.4,0.66,0.0,1.8,0.075,13.0,40.0,0.9978,3.51,0.56,9.4,5,red,9.37932,27.0,8.06,0.9181141439205955,2.678062678062678,0.23500000000000001
7.9,0.6,0.06,1.6,0.069,15.0,59.0,0.9964,3.3,0.46,9.4,5,red,9.36616,44.0,8.5,0.9294117647058824,2.8484848484848486,0.1593220338983051
7.3,0.65,0.0,1.2,0.065,15.0,21.0,0.9946,3.39,0.47,10.0,7,red,9.946,6.0,7.95,0.9182389937106917,2.949852507374631,0.47619047619047616
7.8,0.58,0.02,2.0,0.073,9.0,18.0,0.9968,3.36,0.57,9.5,7,red,9.4696,9.0,8.379999999999999,0.9307875894988068,2.8273809523809526,0.5277777777777778
7.5,0.5,0.36,6.1,0.071,17.0,102.0,0.9978,3.35,0.8,10.5,5,red,10.4769,85.0,8.0,0.9375,3.134328358208955,0.10294117647058823
6.7,0.58,0.08,1.8,0.097,15.0,65.0,0.9959,3.28,0.54,9.2,5,red,9.162279999999999,50.0,7.28,0.9203296703296703,2.8048780487804876,0.14153846153846153
7.5,0.5,0.36,6.1,0.071,17.0,102.0,0.9978,3.35,0.8,10.5,5,red,10.4769,85.0,8.0,0.9375,3.134328358208955,0.10294117647058823
5.6,0.615,0.0,1.6,0.089,16.0,59.0,0.9943,3.58,0.52,9.9,5,red,9.84357,43.0,6.215,0.9010458567980691,2.7653631284916202,0.16779661016949154
7.8,0.61,0.29,1.6,0.114,9.0,29.0,0.9974,3.26,1.56,9.1,5,red,9.07634,20.0,8.41,0.9274673008323424,2.791411042944785,0.3137931034482758
8.9,0.62,0.18,3.8,0.176,52.0,145.0,0.9986,3.16,0.88,9.2,5,red,9.18712,93.0,9.52,0.934873949579832,2.9113924050632907,0.06344827586206896
8.9,0.62,0.19,3.9,0.17,51.0,148.0,0.9986,3.17,0.93,9.2,5,red,9.18712,97.0,9.52,0.934873949579832,2.902208201892744,0.06216216216216216
8.5,0.28,0.56,1.8,0.092,35.0,103.0,0.9969,3.3,0.75,10.5,7,red,10.46745,68.0,8.78,0.9681093394077449,3.181818181818182,0.10194174757281553
8.1,0.56,0.28,1.7,0.368,16.0,56.0,0.9968,3.11,1.28,9.3,5,red,9.270240000000001,40.0,8.66,0.9353348729792147,2.9903536977491965,0.1660714285714286
7.4,0.59,0.08,4.4,0.086,6.0,29.0,0.9974,3.38,0.5,9.0,4,red,8.9766,23.0,7.99,0.9261576971214017,2.6627218934911245,0.3103448275862069
7.9,0.32,0.51,1.8,0.341,17.0,56.0,0.9969,3.04,1.08,9.2,6,red,9.171479999999999,39.0,8.22,0.9610705596107055,3.026315789473684,0.16428571428571428
8.9,0.22,0.48,1.8,0.077,29.0,60.0,0.9968,3.39,0.53,9.4,6,red,9.36992,31.0,9.120000000000001,0.9758771929824561,2.7728613569321534,0.15666666666666668
7.6,0.39,0.31,2.3,0.082,23.0,71.0,0.9982,3.52,0.65,9.7,5,red,9.68254,48.0,7.989999999999999,0.951188986232791,2.755681818181818,0.13661971830985914
7.9,0.43,0.21,1.6,0.106,10.0,37.0,0.9966,3.17,0.91,9.5,5,red,9.4677,27.0,8.33,0.9483793517406963,2.996845425867508,0.25675675675675674
8.5,0.49,0.11,2.3,0.084,9.0,67.0,0.9968,3.17,0.53,9.4,5,red,9.36992,58.0,8.99,0.9454949944382647,2.965299684542587,0.14029850746268657
6.9,0.4,0.14,2.4,0.085,21.0,40.0,0.9968,3.43,0.63,9.7,6,red,9.66896,19.0,7.300000000000001,0.9452054794520548,2.8279883381924193,0.2425
6.3,0.39,0.16,1.4,0.08,11.0,23.0,0.9955,3.34,0.56,9.3,5,red,9.25815,12.0,6.6899999999999995,0.9417040358744395,2.7844311377245514,0.4043478260869566
7.6,0.41,0.24,1.8,0.08,4.0,11.0,0.9962,3.28,0.59,9.5,5,red,9.463899999999999,7.0,8.01,0.9488139825218477,2.8963414634146343,0.8636363636363636
7.9,0.43,0.21,1.6,0.106,10.0,37.0,0.9966,3.17,0.91,9.5,5,red,9.4677,27.0,8.33,0.9483793517406963,2.996845425867508,0.25675675675675674
7.1,0.71,0.0,1.9,0.08,14.0,35.0,0.9972,3.47,0.55,9.4,5,red,9.37368,21.0,7.81,0.9090909090909091,2.7089337175792507,0.26857142857142857
7.8,0.645,0.0,2.0,0.082,8.0,16.0,0.9964,3.38,0.59,9.8,6,red,9.76472,8.0,8.445,0.9236234458259325,2.899408284023669,0.6125
6.7,0.675,0.07,2.4,0.089,17.0,82.0,0.9958,3.35,0.54,10.1,5,red,10.05758,65.0,7.375,0.9084745762711864,3.014925373134328,0.12317073170731707
6.9,0.685,0.0,2.5,0.105,22.0,37.0,0.9966,3.46,0.57,10.6,6,red,10.56396,15.0,7.585000000000001,0.9096901779828609,3.0635838150289016,0.2864864864864865
8.3,0.655,0.12,2.3,0.083,15.0,113.0,0.9966,3.17,0.66,9.8,5,red,9.766680000000001,98.0,8.955,0.926856504745952,3.0914826498422716,0.08672566371681417
6.9,0.605,0.12,10.7,0.073,40.0,83.0,0.9993,3.45,0.52,9.4,6,red,9.39342,43.0,7.505000000000001,0.9193870752831446,2.7246376811594204,0.11325301204819277
5.2,0.32,0.25,1.8,0.103,13.0,50.0,0.9957,3.38,0.55,9.2,5,red,9.16044,37.0,5.5200000000000005,0.9420289855072463,2.72189349112426,0.184
7.8,0.645,0.0,5.5,0.086,5.0,18.0,0.9986,3.4,0.55,9.6,6,red,9.58656,13.0,8.445,0.9236234458259325,2.823529411764706,0.5333333333333333
7.8,0.6,0.14,2.4,0.086,3.0,15.0,0.9975,3.42,0.6,10.8,6,red,10.773000000000001,12.0,8.4,0.9285714285714285,3.1578947368421058,0.7200000000000001
8.1,0.38,0.28,2.1,0.066,13.0,30.0,0.9968,3.23,0.73,9.7,7,red,9.66896,17.0,8.48,0.955188679245283,3.0030959752321977,0.3233333333333333
5.7,1.13,0.09,1.5,0.172,7.0,19.0,0.994,3.5,0.48,9.8,4,red,9.741200000000001,12.0,6.83,0.8345534407027818,2.8000000000000003,0.5157894736842106
7.3,0.45,0.36,5.9,0.074,12.0,87.0,0.9978,3.33,0.83,10.5,5,red,10.4769,75.0,7.75,0.9419354838709677,3.153153153153153,0.1206896551724138
7.3,0.45,0.36,5.9,0.074,12.0,87.0,0.9978,3.33,0.83,10.5,5,red,10.4769,75.0,7.75,0.9419354838709677,3.153153153153153,0.1206896551724138
8.8,0.61,0.3,2.8,0.088,17.0,46.0,0.9976,3.26,0.51,9.3,4,red,9.277680000000002,29.0,9.41,0.9351753453772583,2.8527607361963194,0.2021739130434783
7.5,0.49,0.2,2.6,0.332,8.0,14.0,0.9968,3.21,0.9,10.5,6,red,10.4664,6.0,7.99,0.9386733416770964,3.2710280373831777,0.75
8.1,0.66,0.22,2.2,0.069,9.0,23.0,0.9968,3.3,1.2,10.3,5,red,10.267040000000001,14.0,8.76,0.9246575342465754,3.1212121212121215,0.44782608695652176
6.8,0.67,0.02,1.8,0.05,5.0,11.0,0.9962,3.48,0.52,9.5,5,red,9.463899999999999,6.0,7.47,0.9103078982597055,2.7298850574712645,0.8636363636363636
4.6,0.52,0.15,2.1,0.054,8.0,65.0,0.9934,3.9,0.56,13.1,4,red,13.013539999999999,57.0,5.119999999999999,0.8984375000000001,3.358974358974359,0.20153846153846153
7.7,0.935,0.43,2.2,0.114,22.0,114.0,0.997,3.25,0.73,9.2,5,red,9.1724,92.0,8.635,0.89171974522293,2.8307692307692305,0.0807017543859649
8.7,0.29,0.52,1.6,0.113,12.0,37.0,0.9969,3.25,0.58,9.5,5,red,9.47055,25.0,8.989999999999998,0.9677419354838711,2.923076923076923,0.25675675675675674
6.4,0.4,0.23,1.6,0.066,5.0,12.0,0.9958,3.34,0.56,9.2,5,red,9.16136,7.0,6.800000000000001,0.9411764705882353,2.754491017964072,0.7666666666666666
5.6,0.31,0.37,1.4,0.074,12.0,96.0,0.9954,3.32,0.58,9.2,5,red,9.15768,84.0,5.909999999999999,0.9475465313028766,2.7710843373493974,0.09583333333333333
8.8,0.66,0.26,1.7,0.074,4.0,23.0,0.9971,3.15,0.74,9.2,5,red,9.173319999999999,19.0,9.46,0.9302325581395349,2.9206349206349205,0.39999999999999997
6.6,0.52,0.04,2.2,0.069,8.0,15.0,0.9956,3.4,0.63,9.4,6,red,9.358640000000001,7.0,7.119999999999999,0.9269662921348315,2.7647058823529416,0.6266666666666667
6.6,0.5,0.04,2.1,0.068,6.0,14.0,0.9955,3.39,0.64,9.4,6,red,9.357700000000001,8.0,7.1,0.9295774647887324,2.7728613569321534,0.6714285714285715
8.6,0.38,0.36,3.0,0.081,30.0,119.0,0.997,3.2,0.56,9.4,5,red,9.3718,89.0,8.98,0.9576837416481068,2.9375,0.07899159663865546
7.6,0.51,0.15,2.8,0.11,33.0,73.0,0.9955,3.17,0.63,10.2,6,red,10.1541,40.0,8.11,0.93711467324291,3.217665615141956,0.13972602739726026
7.7,0.62,0.04,3.8,0.084,25.0,45.0,0.9978,3.34,0.53,9.5,5,red,9.4791,20.0,8.32,0.9254807692307693,2.8443113772455093,0.2111111111111111
10.2,0.42,0.57,3.4,0.07,4.0,10.0,0.9971,3.04,0.63,9.6,5,red,9.57216,6.0,10.62,0.96045197740113,3.1578947368421053,0.96
